segment,sonority,syllabic,consonantal,approximant,sonorant,nasal,continuant,delrel,trill,tap,voice,sprgl,constrgl,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense
i,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,1,0,1,0,1
y,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,1,0,1,0,1
ɨ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0,0,1
ʉ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,1,0,0,0,1
ɯ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0,1,1
u,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,1,0,0,1,1
ɪ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,1,0,1,0,0
ʏ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,1,0,1,0,0
ʊ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,1,0,0,1,0
e,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,1,0,1
ø,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0,1
ɘ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,1
ɵ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,0,1
ɤ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,0,1,1
o,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1,1
ɛ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,1,0,0
œ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0,0
ə,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,0
ɞ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,0,0
ʌ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,0,1,0
ɔ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1,0
æ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,1,0,NA
ɶ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,1,1,0,NA
a,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,0,0,NA
ɑ,6,1,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,0,1,NA
ɒ,6,1,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,1,0,1,NA
j,5,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,1,0,1
ʋ,5,0,0,1,1,0,1,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
ɥ,5,0,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,0,1,1,0,1,0,1
w,5,0,0,1,1,0,1,NA,0,0,1,0,0,1,1,0,0,NA,NA,NA,0,1,1,0,0,1,1
ʙ,4,0,1,1,1,0,1,NA,1,0,1,0,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
l,4,0,1,1,1,0,1,NA,0,0,1,0,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA
r,4,0,1,1,1,0,1,NA,1,0,1,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA
ɾ,4,0,1,1,1,0,1,NA,0,1,1,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA
ɹ,4,0,1,1,1,0,1,NA,0,0,1,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA
ʎ,4,0,1,1,1,0,1,NA,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,NA
ʟ,4,0,1,1,1,0,1,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,1,1,1,0,NA,NA,NA
ʀ,4,0,1,1,1,0,1,NA,1,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,NA
m,3,0,1,0,1,1,0,NA,0,0,1,0,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
ɱ,3,0,1,0,1,1,0,NA,0,0,1,0,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
n,3,0,1,0,1,1,0,NA,0,0,1,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA
ɳ,3,0,1,0,1,1,0,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA
ɲ,3,0,1,0,1,1,0,NA,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,NA
ŋ,3,0,1,0,1,1,0,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,NA,NA,NA
ɴ,3,0,1,0,1,1,0,NA,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,NA
p,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
b,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
ɸ,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
β,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
f,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
v,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA
θ,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA
ð,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA
t,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA
d,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA
s,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,NA
z,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,NA,NA
ʃ,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,NA,NA,NA,NA,NA
